Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
untitled-jun27_17-05-09,Untitled Jun27_17:05:09,,KAY OFFICIALS BY KASHA,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,kg,,,draft
real-techniques-everyday-essentials-brush-set,REAL TECHNIQUES | Everyday Essentials Brush Set,"<p><span>The Real Techniques Everyday Essentials Set is a one-and-done kit to elevate your makeup routine. This makeup brush kit comes with the brand’s fan favorite makeup tools: 400 Blush Brush, 300 Deluxe Crease Brush, 402 Setting Brush, 200 Expert Face Brush and our Miracle Complexion Sponge. These 5 makeup must-haves for your face, eyes, and cheeks include brushes with both fluffy and dense bristles, so they work with liquid, cream, and powder products.</span></p> <!---->",KAY OFFICIALS BY KASHA,Uncategorized,"","",false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,2219.00,5160.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/GlowGlam_Website_Images_9.jpg?v=1782382832,1,"",false,,,,kg,,,draft
real-techniques-everyday-essentials-brush-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/RTBrushSet2.webp?v=1782382832,2,"",,,,,,,,
real-techniques-everyday-essentials-brush-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/RTBrushSet3.webp?v=1782382832,3,"",,,,,,,,
sheglam-liquid-highlighter,SHEGLAM | Liquid Highlighter,"<p><span data-sheets-value='{""1"":2,""2"":""Details: Like a yummy treat for your face， our innovative highlighter delivers dewy shine for good measure. Apply it to your high points， like your cheekbones and beneath your brows.\r\n\r\n\r\n\r\nIngredents: Ingredients: mica， isononyl isononanoate， CI 77891， polydimethylsiloxane， phenyl trimethicone， silica， polyisobutylene， talc， polydimethylsiloxane cross-linking polymerization Compounds， hydroxystearic acid， microcrystalline wax， CI 77491， caprylyl glycol， tocopherol acetate， ethylhexylglycerol， tin oxide， triethoxyoctylsilane | Moonbeam: shimmery peach-goldBenefits: Long-wearing，Smudge Proof\r\nFinish: Metallic\r\nTexture: Powder""}' data-sheets-userformat='{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":1,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}' data-mce-fragment=""1"">Like a yummy treat for your face, SheGlam Liquid Highlighter delivers a dewy shine to give that perfect sheer glow to your skin.</span></p> <p><span data-sheets-value='{""1"":2,""2"":""Details: Like a yummy treat for your face， our innovative highlighter delivers dewy shine for good measure. Apply it to your high points， like your cheekbones and beneath your brows.\r\n\r\n\r\n\r\nIngredents: Ingredients: mica， isononyl isononanoate， CI 77891， polydimethylsiloxane， phenyl trimethicone， silica， polyisobutylene， talc， polydimethylsiloxane cross-linking polymerization Compounds， hydroxystearic acid， microcrystalline wax， CI 77491， caprylyl glycol， tocopherol acetate， ethylhexylglycerol， tin oxide， triethoxyoctylsilane | Moonbeam: shimmery peach-goldBenefits: Long-wearing，Smudge Proof\r\nFinish: Metallic\r\nTexture: Powder""}' data-sheets-userformat='{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":1,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}' data-mce-fragment=""1"">Apply it to your high points like your cheekbones and beneath your brows to achieve the highlighted look.</span></p> <p><span data-sheets-value='{""1"":2,""2"":""Details: Like a yummy treat for your face， our innovative highlighter delivers dewy shine for good measure. Apply it to your high points， like your cheekbones and beneath your brows.\r\n\r\n\r\n\r\nIngredents: Ingredients: mica， isononyl isononanoate， CI 77891， polydimethylsiloxane， phenyl trimethicone， silica， polyisobutylene， talc， polydimethylsiloxane cross-linking polymerization Compounds， hydroxystearic acid， microcrystalline wax， CI 77491， caprylyl glycol， tocopherol acetate， ethylhexylglycerol， tin oxide， triethoxyoctylsilane | Moonbeam: shimmery peach-goldBenefits: Long-wearing，Smudge Proof\r\nFinish: Metallic\r\nTexture: Powder""}' data-sheets-userformat='{""2"":15357,""3"":{""1"":0},""5"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":{""1"":2,""2"":0}},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""9"":1,""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Arial"",""16"":10}' data-mce-fragment=""1"">Master dupe</span></p>",KAY OFFICIALS BY KASHA,Uncategorized,"","",false,Shade,Vanilla Frost,,,,,,,,,0.0,,0,deny,manual,1359.00,3160.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/1.jpg?v=1782382831,1,"",false,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/1.jpg?v=1782382831,kg,,,draft
sheglam-liquid-highlighter,,,,,,,,,Tea Cake,,,,,,,,,0.0,,0,deny,manual,1359.00,3160.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/5.jpg?v=1782382831,2,"",,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/SheglamHighlighter-TeaCake.jpg?v=1782382831,kg,,,
sheglam-liquid-highlighter,,,,,,,,,Bellini Brunch,,,,,,,,,0.0,,0,deny,manual,1359.00,3160.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/ICYTheseshimmeringshadesaregivingusMAJORGLOWGetthedewy_cheek-loving_long-wearingglowwithourNEWGlowBloomLiquidHighlighter_ShopGlowBloomnowatSHEGLAM.comFeaturedProduct-GlowBl.jpg?v=1782382831,3,"",,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/SheglamHighlighter-BellineBrunch.jpg?v=1782382831,kg,,,
sheglam-liquid-highlighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/SheglamHighlighter-TeaCake.jpg?v=1782382831,4,"",,,,,,,,
sheglam-liquid-highlighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/SheglamHighlighter-BellineBrunch.jpg?v=1782382831,5,"",,,,,,,,
laura-mercier-translucent-loose-setting-powder,LAURA MERCIER | Translucent Loose Setting Powder,"<p><span>Truly translucent, the #1 Setting Powder is a must-have to set and maintain the color of your foundation. Exceptionally milled to deliver incredible staying power without weight or texture so skin looks and feels soft, smooth and flawless from day to night.</span></p> <!---->",GlowGlamByMimi,,"","",false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,1703.00,3960.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0890/6968/2722/files/Laura-Mercier-Loose-Setting-Powder-Translucent.jpg?v=1782382830,1,"",false,,,,kg,,,draft
